crohn 's disease	be check by	this method	2
variant angina	have	angina	1
cytotoxic chemotherapy	induce	cell differentiation	2
anorexia	be investigate for	gallbladder disease	2
obesity	be characterize by	expanded blood volume	3
epilepsy	masquerade as	heart disease	3
unstable angina	be exclude from	analysis	1
<NUM> weeks of trauma	show	extraspinal soft tissue	5
one patient	have back	pain	1
ldl cholesterol	do not decrease	hdl cholesterol	2
part	increase susceptibility to	stroke	3
pcr/pi ratio	return to	normal level	3
histamine	be	causative toxin	2
diagnosis	be review in	this patient group	4
one patient	have	hypokalemia	2
abdominal midgut epithelium	may enhance	initial midgut infection	2
renal ischemia	lead to	renal damage following infection	3
adenocarcinoma of the lung	be examine by	cytofluorometric analysis	2
renal biopsy	show	membranous glomerulonephritis	2
aprotinin	offer advantage for	cardiopulmonary bypass	1
history of diabetes mellitus	have symptom of	left flank pain	3
ischemic stroke	require	further study	2
simultaneous lung disease	mimic	diagnosis	2
intraamniotic infection	have	amniotic fluid glucose	2
`` diarrheal death	include in	analysis	1
complications of infection	include	antibiotic-resistant infection	2
cause of death	be related to	crohn 's disease	1
giant cell arteritis	present with	normal erythrocyte sedimentation rate	3
early cancer	can greatly decrease	mortality	2
diagnosis	be make by	biopsy	2
molecule (vla beta	act as	receptor	3
electrophysiological study	gate	blood-pool scan	2
study	be greater than	<NUM> hr	2
first dose	be	<NUM> ( range	1
analysis	be base on	person-years method	2
prostacyclin	may contribute to	structural changes and hypertension	2
sympathetic burst frequency	be compare with	subjects ' blood pressure	2
no patient	require	reintubation	2
angiography	demonstrate	vascular injury	2
one patient	die of	cytomegalovirus pneumonitis	2
electrically damaged rat	carotid	artery	2
burn	be limited to	corneal epithelium	2
total/hdl cholesterol ratio	be related to	extent	1
only one patient	require more than	one biopsy	3
vt placement	do not require	surgery	2
primary cns lymphoma	be treat with	barrier-dependent chemotherapy	2
survival	be observe between	adjuvant-treated group	2
one patient	demonstrate	enlarged heart	5
posttraumatic amputation	be evaluate for	impact of chronic disability	4
key factor	be examine in	current study	2
internal sphincter relaxation	be lower than	threshold volume	3
one patient	have	associated pneumonia	2
patient	have	liver cirrhosis	3
one patient	die postoperatively of	pneumonia	2
more morbidity	occur in	bilateral group	2
recurrent angina	have undergo	coronary angiography	2
their course	follow	( group	2
duodenal ulcer disease	be secondary to	h. pylori infection	2
serum alt level	fall to	normal range	1
p. carinii infection	typically present as	subacute pneumonia	2
hiv infection	be responsive to	antituberculosis chemotherapy	3
purpose of this study	be to determine	frequency of bacterial pneumonia	4
another important prognostic factor	be	post-irradiation stage reduction	3
study	add to	evidence	3
<NUM> micrograms/kg dose	complain of	chest pain	2
one patient	be suffer from	pancreatitis	3
hla-b51 antigen	be associate with	ear involvement	2
fentanyl	maintain with	isoflurane	3
opportunistic infection	may produce	biliary obstruction	4
arrhythmia	be attribute to	acute myocardial infarction	2
alpha	be associate with	longest median survival	2
pain group	be similar to	no-pain group	3
drug	have on	diabetic diarrhea	2
combined radiation and chemotherapy	improve	survival	1
rheumatic heart disease	shorten	this period	2
one pregnancy	result in	intrauterine death	4
unstable angina	be	heterogenous group	1
trichloroacetic acid	be excellent for	minimal disease	2
all levels of cholesterol	be associate with	significant inverse relative risk	3
this tropical environment	may result in	immune activation	3
one patient	have develop	ebv lymphoma	4
radiotherapy group	die with	disease	2
patient	will receive	rpr test	3
another patient	have	myocardial infarction	2
